good_nav_pix,tot_nav_pix,fidelity,Rover.pitch,Rover.roll
3869,3869,100.0,-0.0002,0.0
3869,3869,100.0,-0.0003,0.0
3870,3870,100.0,-0.0003,0.0001
3875,3875,100.0,0.0056,-0.0004
3875,3875,100.0,0.0056,-0.0004
3879,3879,100.0,0.0215,-0.0002
4050,4050,100.0,0.0661,-0.0024
4050,4050,100.0,0.0661,-0.0024
4076,4076,100.0,0.1258,-0.0042
4278,4278,100.0,0.1519,-0.0045
4625,4625,100.0,0.288,359.9921
4625,4625,100.0,0.288,359.9921
4821,4821,100.0,0.3255,359.991
5024,5024,100.0,0.3873,359.9871
5355,5355,100.0,0.4361,359.9886
5355,5355,100.0,0.4361,359.9886
5850,5850,100.0,0.501,-0.0041
6758,6758,100.0,0.5589,0.0008
6862,6862,100.0,0.5811,0.0016
6862,6862,100.0,0.5811,0.0016
6928,6928,100.0,0.6164,0.0012
7154,7156,100.0,0.6574,0.0007
7482,7488,99.9,0.6663,0.0012
7635,7641,99.9,0.6869,0.0011
7635,7641,99.9,0.6869,0.0011
7795,7802,99.9,0.6907,-0.0003
7847,7857,99.9,0.6991,-0.0005
7899,7909,99.9,0.7165,-0.0004
7972,7981,99.9,0.7138,-0.0002
7972,7981,99.9,0.7138,-0.0002
7939,7948,99.9,0.7237,0.0
8070,8082,99.9,0.7041,0.0012
7904,7914,99.9,0.6957,0.0002
7904,7914,99.9,0.6957,0.0002
7859,7869,99.9,0.6774,0.0001
7651,7663,99.8,0.657,-0.0002
7514,7522,99.9,0.657,0.0004
7553,7564,99.9,0.648,-0.0001
7553,7564,99.9,0.648,-0.0001
7457,7465,99.9,0.6512,0.0
7297,7308,99.8,0.6289,0.0009
7297,7308,99.8,0.6289,0.0009
7195,7206,99.8,0.6152,0.001
6936,6950,99.8,0.5874,0.0008
6936,6950,99.8,0.5874,0.0008
6896,6917,99.7,0.5767,0.0007
6678,6694,99.8,0.5673,-0.0001
6678,6694,99.8,0.5673,-0.0001
6630,6644,99.8,0.5592,0.0015
6583,6596,99.8,0.5594,0.0001
6566,6578,99.8,0.552,0.0007
6566,6578,99.8,0.552,0.0007
6527,6541,99.8,0.5317,0.0005
6442,6454,99.8,0.5447,0.0006
6442,6454,99.8,0.5447,0.0006
6435,6446,99.8,0.5272,0.0003
6281,6291,99.8,0.5243,-0.0008
6281,6291,99.8,0.5243,-0.0008
6253,6262,99.9,0.5351,-0.0008
6309,6319,99.8,0.534,0.0003
6265,6279,99.8,0.5297,0.0007
6255,6268,99.8,0.5336,0.0013
6255,6268,99.8,0.5336,0.0013
6275,6288,99.8,0.5384,-0.0002
6275,6289,99.8,0.5335,0.0005
6171,6192,99.7,0.5261,-0.0002
6170,6193,99.6,0.5259,0.0009
6170,6193,99.6,0.5259,0.0009
6186,6209,99.6,0.5273,0.0013
6215,6233,99.7,0.5287,-0.0004
6067,6084,99.7,0.5081,-0.0017
6045,6064,99.7,0.492,-0.0015
6045,6064,99.7,0.492,-0.0015
5996,6011,99.8,0.4926,0.0003
5978,5987,99.8,0.5056,-0.0002
6068,6085,99.7,0.5093,0.0
6068,6085,99.7,0.5093,0.0
6044,6061,99.7,0.5012,-0.0003
5902,5902,100.0,0.5005,0.0006
5940,5940,100.0,0.4979,0.0008
5940,5940,100.0,0.4979,0.0008
5940,5940,100.0,0.4998,0.0005
5988,5988,100.0,0.498,-0.0002
5889,5889,100.0,0.5033,-0.0002
5920,5920,100.0,0.4931,-0.0006
5920,5920,100.0,0.4931,-0.0006
5817,5817,100.0,0.5046,-0.001
5876,5876,100.0,0.5091,-0.0007
5880,5880,100.0,0.5169,-0.0001
5903,5903,100.0,0.5137,0.0005
5816,5816,100.0,0.5145,0.0003
5816,5816,100.0,0.5145,0.0003
5788,5788,100.0,0.5213,-0.0002
5837,5837,100.0,0.5159,0.0003
5777,5777,100.0,0.5242,0.0007
5784,5784,100.0,0.5238,0.0002
5784,5784,100.0,0.5238,0.0002
5791,5791,100.0,0.5256,-0.0001
5774,5774,100.0,0.5352,-0.0002
