good_nav_pix,tot_nav_pix,fidelity,Rover.pitch,Rover.roll
3958,3958,100.0,-0.0002,-0.0001
3986,3986,100.0,-0.0003,-0.0001
4023,4023,100.0,-0.0004,-0.0001
3993,3993,100.0,0.0065,0.0007
3993,3993,100.0,0.0065,0.0007
4070,4070,100.0,0.0283,0.0031
4203,4206,99.9,0.0363,0.0038
4350,4352,100.0,0.1379,0.0152
4350,4352,100.0,0.1379,0.0152
4499,4503,99.9,0.1699,0.0182
4531,4537,99.9,0.2222,0.0216
4700,4708,99.8,0.2739,0.0301
4970,5008,99.2,0.3572,0.0384
4970,5008,99.2,0.3572,0.0384
5012,5054,99.2,0.4426,0.0394
6391,6476,98.7,0.4845,0.0424
6956,7052,98.6,0.5167,0.0412
8042,8172,98.4,0.5763,0.0255
8042,8172,98.4,0.5763,0.0255
8123,8256,98.4,0.6117,0.0147
8321,8468,98.3,0.6408,0.0091
8467,8627,98.1,0.6561,0.0011
8581,8743,98.1,0.6671,-0.0028
8637,8806,98.1,0.6696,-0.0016
8590,8756,98.1,0.6686,-0.0017
8571,8743,98.0,0.6845,0.0008
8773,8944,98.1,0.6894,-0.0012
8746,8914,98.1,0.6854,-0.0013
8746,8914,98.1,0.6854,-0.0013
8716,8891,98.0,0.6821,0.0002
8575,8754,98.0,0.6713,0.0021
8531,8704,98.0,0.652,-0.0014
8531,8704,98.0,0.652,-0.0014
8380,8555,98.0,0.6467,0.0042
8277,8442,98.0,0.642,0.0065
8292,8468,97.9,0.6234,0.0045
8210,8382,97.9,0.6094,0.0059
8127,8292,98.0,0.5999,0.0062
7974,8133,98.0,0.5823,0.0106
7931,8089,98.0,0.572,0.0159
7719,7869,98.1,0.5664,0.0186
7785,7933,98.1,0.5578,0.0204
7736,7881,98.2,0.5435,0.0289
7736,7881,98.2,0.5435,0.0289
7583,7733,98.1,0.5387,0.0374
7484,7599,98.5,0.5102,0.0568
7484,7599,98.5,0.5102,0.0568
7307,7389,98.9,0.4989,0.06
7077,7153,98.9,0.5034,0.0741
7077,7153,98.9,0.5034,0.0741
7224,7302,98.9,0.4923,0.0801
6864,6938,98.9,0.4688,0.0941
6864,6938,98.9,0.4688,0.0941
6836,6914,98.9,0.4586,0.1008
6670,6744,98.9,0.4566,0.1014
6617,6690,98.9,0.4515,0.1039
6651,6722,98.9,0.4449,0.1048
6488,6562,98.9,0.4296,0.1098
6342,6409,99.0,0.4272,0.1192
6342,6409,99.0,0.4272,0.1192
6350,6410,99.1,0.4314,0.12
6381,6444,99.0,0.431,0.1188
6210,6269,99.1,0.4165,0.1249
6210,6269,99.1,0.4165,0.1249
6194,6261,98.9,0.4213,0.1259
6068,6132,99.0,0.4008,0.1355
6068,6132,99.0,0.4008,0.1355
5926,5996,98.8,0.4035,0.1404
5997,6069,98.8,0.3981,0.146
6016,6090,98.8,0.3957,0.1467
5971,6043,98.8,0.4028,0.1457
6103,6186,98.7,0.4042,0.1441
6040,6110,98.9,0.4141,0.147
5979,6048,98.9,0.4125,0.1558
5979,6048,98.9,0.4125,0.1558
6017,6092,98.8,0.3998,0.1588
6001,6071,98.8,0.4034,0.1608
6000,6074,98.8,0.4097,0.1595
5987,6071,98.6,0.3999,0.1579
5841,5914,98.8,0.3985,0.1578
5871,5950,98.7,0.4083,0.1585
5949,6031,98.6,0.4058,0.1585
